"occurrenceStatus.2";"geometry.2";"pred.2"
1;c(14.641596, 67.198021);0,817
1;c(14.413307, 67.266958);0,734
1;c(9.059671, 61.708825);0,688
1;c(14.423305, 67.091982);0,843
1;c(9.800422, 61.126038);0,678
1;c(9.63383, 62.417502);0,828
1;c(12.881051, 66.401223);0,815
1;c(10.097908, 61.098681);0,767
1;c(10.046453, 59.720824);0,42
1;c(13.919225, 67.014272);0,817
1;c(15.82359, 68.159513);0,83
1;c(9.529957, 59.312858);0,446
1;c(15.382077, 67.174646);0,531
1;c(13.958894, 66.735833);0,856
1;c(10.354251, 62.719369);0,799
1;c(10.205131, 59.709734);0,294
1;c(14.134802, 66.789245);0,855
1;c(10.284623, 61.126112);0,502
1;c(8.955997, 61.824525);0,689
1;c(9.77058, 59.62493);0,407
1;c(9.852048, 61.009444);0,519
1;c(13.649982, 66.735152);0,83
1;c(13.969584, 66.987421);0,812
1;c(15.976403, 68.264737);0,531
1;c(7.215951, 59.983804);0,848
1;c(11.177054, 61.016257);0,531
1;c(10.758835, 62.696521);0,765
1;c(9.718379, 61.448223);0,71
1;c(15.145991, 67.039849);0,816
1;c(8.8792, 61.813367);0,744
1;c(9.553305, 63.592099);0,786
1;c(10.365202, 61.206506);0,47
1;c(16.38828, 68.072971);0,859
1;c(9.470767, 61.890906);0,683
1;c(8.938021, 62.162465);0,823
1;c(7.220856, 59.992854);0,848
1;c(16.121382, 68.193629);0,836
1;c(9.648778, 62.301455);0,805
1;c(10.106963, 61.090465);0,767
1;c(14.104376, 66.750497);0,858
1;c(16.388307, 68.113338);0,859
1;c(13.987317, 66.977263);0,812
1;c(15.202261, 67.74053);0,845
1;c(9.612998, 60.899455);0,487
1;c(8.988444, 61.655231);0,684
1;c(9.028078, 61.739988);0,713
1;c(10.396356, 61.062521);0,54
1;c(6.767683, 60.30354);0,855
1;c(14.090902, 66.789068);0,858
1;c(14.451441, 67.171021);0,775
1;c(14.850921, 67.001005);0,86
1;c(14.581777, 67.020845);0,822
1;c(9.704195, 61.010411);0,643
1;c(8.086643, 61.667981);0,852
1;c(10.208248, 61.039549);0,587
1;c(12.171346, 66.544538);0,531
1;c(14.577591, 67.353501);0,809
1;c(9.172608, 61.681083);0,618
1;c(12.160108, 66.524556);0,531
1;c(14.60322, 67.351771);0,835
1;c(9.805183, 59.644666);0,653
1;c(9.011189, 61.564848);0,812
1;c(16.295996, 68.087938);0,531
1;c(15.502191, 67.135068);0,826
1;c(10.896241, 62.192933);0,71
1;c(6.480878, 60.347706);0,843
1;c(15.49787, 67.205407);0,852
1;c(8.342483, 59.457189);0,496
1;c(9.015187, 61.646807);0,684
1;c(14.308734, 66.828254);0,856
1;c(10.033993, 62.427878);0,717
1;c(8.984141, 61.827239);0,697
1;c(8.984249, 61.623108);0,752
1;c(14.168085, 66.780003);0,856
1;c(14.460235, 67.036043);0,864
1;c(5.773913, 58.52879);0,531
1;c(10.489026, 61.145327);0,395
1;c(9.588977, 60.89966);0,487
1;c(14.711629, 67.238979);0,531
1;c(9.640899, 61.378805);0,739
1;c(9.29494, 61.998445);0,698
1;c(14.655592, 67.367906);0,849
1;c(14.126637, 66.823874);0,856
1;c(7.874102, 62.515815);0,821
1;c(14.991589, 67.920941);0,811
1;c(8.866291, 61.738044);0,808
1;c(14.210216, 66.781161);0,854
1;c(11.310517, 63.837375);0,531
1;c(8.755358, 61.473364);0,813
1;c(9.035794, 61.665653);0,684
1;c(9.555559, 60.903522);0,594
1;c(9.668154, 62.771265);0,863
1;c(9.028769, 61.813579);0,713
1;c(9.672349, 62.084424);0,712
1;c(9.324962, 63.660732);0,531
1;c(13.966961, 67.426997);0,828
1;c(10.05125, 62.442876);0,709
1;c(14.634041, 67.010073);0,867
1;c(15.515971, 67.251279);0,846
1;c(14.139545, 66.780435);0,855
1;c(9.326561, 62.743204);0,89
1;c(6.155741, 60.419925);0,83
1;c(20.423674, 70.173107);0,531
1;c(7.164738, 59.807965);0,853
1;c(9.051631, 61.794857);0,724
1;c(10.766497, 60.065566);0,603
