"occurrenceStatus";"geometry";"pred"
1;c(11.395826, 62.449155);0,962
1;c(12.79817, 59.9172);0,95
1;c(14.8613, 59.93381);0,492
1;c(12.72333, 59.95852);0,915
1;c(18.2055, 59.77738);0,41
1;c(18.171, 59.80536);0,457
1;c(18.33413, 59.72234);0,56
1;c(15.06709, 58.57515);0,351
1;c(11.25475, 58.41699);1
1;c(18.14162, 63.3925);0,744
1;c(14.97933, 59.47053);0,686
1;c(14.80138, 59.53879);0,682
1;c(13.39092, 55.65152);0,518
1;c(15.43107, 57.71392);0,369
1;c(15.56033, 57.96543);0,33
1;c(15.09471, 58.14159);0,195
1;c(16.6667, 58.38899);0,508
1;c(14.88358, 58.14275);0,076
1;c(14.48881, 63.33795);0,163
1;c(14.70228, 63.19424);0,463
1;c(14.76021, 63.13618);0,492
1;c(14.99292, 62.92885);0,723
1;c(15.10989, 62.88613);0,675
1;c(15.00698, 62.94019);0,772
1;c(15.05243, 63.41785);0,543
1;c(14.70391, 63.18055);0,463
1;c(14.78927, 63.13624);0,492
1;c(14.45656, 63.24282);0,63
1;c(15.15494, 62.94858);0,686
1;c(14.76981, 63.12809);0,492
1;c(14.81542, 63.1248);0,801
1;c(14.82233, 63.09404);0,801
1;c(14.7218, 63.16974);0,626
1;c(15.90308, 62.8534);0,541
1;c(13.88207, 62.43542);0,7
1;c(13.82815, 63.40498);0,383
1;c(15.60209, 63.30366);0,809
1;c(15.79594, 60.03199);0,756
1;c(12.81583, 59.92247);0,95
1;c(13.60014, 57.97191);0,379
1;c(11.79523, 57.56699);1
1;c(15.84524, 57.18406);0,04
1;c(15.95195, 56.98742);0,152
1;c(16.56578, 59.91046);0,405
1;c(14.79773, 63.13986);0,741
1;c(17.33521, 60.58036);0,845
1;c(17.35302, 60.59907);0,96
1;c(17.34126, 60.60521);0,96
1;c(14.42749, 57.8066);0,484
1;c(13.61364, 58.44005);0,129
1;c(14.592216, 67.277849);0,998
1;c(14.472811, 67.233123);1
1;c(14.405887, 67.220062);0,998
1;c(14.059146, 67.153254);0,996
1;c(14.599357, 67.402104);1
1;c(14.634463, 67.287153);0,998
1;c(14.068776, 67.142275);0,996
1;c(14.085323, 67.158509);1
1;c(14.05761, 57.87486);0,126
1;c(14.514951, 67.340658);1
1;c(11.751222, 61.696978);0,923
1;c(14.249643, 66.760838);1
1;c(11.745922, 59.14118);0,629
1;c(14.649277, 67.019617);0,999
1;c(14.495287, 67.02952);1
1;c(13.877534, 67.38592);1
1;c(11.055719, 63.196021);0,653
1;c(14.620081, 67.282463);0,998
1;c(12.05469, 62.348726);0,857
1;c(14.443679, 66.956596);1
1;c(14.03756, 66.773099);1
1;c(14.37291, 66.921884);1
1;c(15.300896, 66.934455);0,971
1;c(16.516551, 69.0547);0,999
1;c(14.233168, 66.762344);1
1;c(14.745962, 67.080891);1
1;c(14.22023, 63.55344);0,637
1;c(16.71256, 59.34512);0,272
1;c(14.4265, 57.81404);0,484
1;c(11.6288, 62.3348);0,958
1;c(11.9142, 61.8041);0,74
1;c(14.9668, 57.95683);0,061
1;c(17.20624, 62.58893);0,558
1;c(16.27385, 58.59887);0,279
1;c(14.88534, 57.78794);0,248
1;c(14.56728, 63.27867);0,279
1;c(13.19099, 63.25947);0,831
1;c(14.89013, 63.40081);0,895
1;c(14.8408, 63.09476);0,821
1;c(15.11624, 62.96416);0,625
1;c(14.9037, 63.11595);0,7
1;c(14.77236, 63.41729);0,849
1;c(16.31485, 58.10429);0,224
1;c(17.5914, 60.55694);0,341
1;c(17.59011, 60.56683);0,341
1;c(15.24982, 66.93685);0,987
1;c(15.23691, 66.93619);0,987
1;c(14.05155, 67.12133);1
1;c(14.01306, 67.16305);1
1;c(14.94003, 67.18388);1
1;c(14.35857, 67.20402);0,998
1;c(15.13403, 67.03304);0,997
1;c(15.15302, 67.03685);0,997
1;c(14.87148, 67.54992);1
1;c(14.69521, 67.49106);1
1;c(14.80709, 67.52929);1
1;c(14.48634, 67.236002);1
1;c(15.60801, 62.71647);0,614
1;c(14.23182, 63.53283);0,664
1;c(14.87182, 63.08523);0,821
1;c(14.81809, 63.33021);0,522
1;c(14.4488, 63.05472);0,574
1;c(14.57164, 63.03192);0,775
1;c(14.52188, 63.17208);0,863
